#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
33,Switzerland,"509,279",,"9,034 ",,"317,600",,"182,645",312,"58,604","1,040","4,135,714","475,909","8,690,134 "
34,Morocco,"464,844",,"8,105 ",,"440,652",,"16,087",456,"12,511",218,"5,262,054","141,623","37,155,316 "
35,Austria,"401,886",,"7,330 ",,"378,408",,"16,148",331,"44,480",811,"4,156,075","459,984","9,035,260 "
36,Serbia,"380,802",,"3,849 ",,"31,536",,"345,417",161,"43,683",442,"2,527,514","289,936","8,717,490 "
37,Saudi Arabia,"365,988",,"6,346 ",,"357,525",,"2,117",322,"10,422",181,"11,924,323","339,565","35,116,437 "
38,Hungary,"358,317","+1,344","11,904 ",+93,"239,880","+2,518","106,533",259,"37,145","1,234","3,035,627","314,687","9,646,506 "
39,Japan,"351,020",,"4,830 ",,"279,214",,"66,976","1,011","2,780",38,"6,236,054","49,391","126,257,867 "
40,Jordan,"318,911",,"4,207 ",,"304,996",,"9,708",139,"31,083",410,"3,678,331","358,516","10,259,872 "
41,Panama,"307,793",,"4,980 ",,"253,503",,"49,310",259,"70,714","1,144","1,590,184","365,336","4,352,667 "
42,Lebanon,"272,461",,"2,208 ",,"162,007",,"108,246",892,"40,020",324,"2,466,437","362,276","6,808,175 "
43,UAE,"270,810",,776 ,,"243,267",,"26,767",,"27,197",78,"24,203,766","2,430,769","9,957,245 "
44,Nepal,"268,948",,"1,986 ",,"263,348",,"3,614",,"9,139",67,"2,035,301","69,160","29,428,780 "
45,Georgia,"252,972",+998,"3,038 ",+16,"240,629","+1,892","9,305",,"63,483",762,"2,086,815","523,688","3,984,847 "
46,Ecuador,"237,158",,"14,562 ",,"199,332",,"23,264",489,"13,329",818,"835,475","46,956","17,792,602 "
47,Belarus,"234,111",,"1,628 ",,"218,831",,"13,652",,"24,780",172,"4,330,509","458,373","9,447,571 "
48,Slovakia,"233,027",,"3,894 ",,"183,942",,"45,191",578,"42,670",713,"1,658,408","303,675","5,461,132 "
49,Azerbaijan,"228,526",,"3,064 ",,"219,019",,"6,443",,"22,426",301,"2,347,951","230,408","10,190,399 "
50,Croatia,"227,969",,"4,770 ",,"219,878",,"3,321",145,"55,725","1,166","1,144,819","279,842","4,090,949 "
51,Bulgaria,"214,430",,"8,799 ",,"178,602",,"27,029",284,"30,992","1,272","1,311,036","189,488","6,918,840 "
52,Dominican Republic,"201,145",,"2,496  ",,"146,491",,"52,158",332,"18,439",229,"989,038","90,664","10,908,841 "
53,Bolivia,"198,257","+1,864","9,871 ",+53,"148,750","+1,006","39,636",71,"16,856",839,"509,106","43,284","11,761,996 "
54,Tunisia,"193,273",,"6,092 ",,"140,180",,"47,001",409,"16,258",512,"802,376","67,495","11,887,867 "
55,Denmark,"193,038",,"1,941 ",,"177,550",,"13,547",130,"33,261",334,"12,431,739","2,142,046","5,803,674 "
56,Costa Rica,"189,308",,"2,518 ",,"146,448",,"40,342",205,"36,973",492,"567,141","110,766","5,120,188 "
57,Ireland,"184,279",,"2,870 ",,"23,364",,"158,045",218,"37,088",578,"2,900,940","583,848","4,968,657 "
58,Malaysia,"176,180",,660 ,,"132,706",,"42,814",251,"5,405",20,"4,307,729","132,148","32,597,848 "
59,Kazakhstan,"175,390","+1,548","2,403 ",,"158,647","+1,050","14,340",221,"9,279",127,"5,942,556","314,382","18,902,348 "
60,Lithuania,"174,846",,"2,591 ",,"114,925",,"57,330",172,"64,741",959,"1,850,397","685,151","2,700,715 "
61,Armenia,"165,909",+198,"3,034 ",+4,"154,535",+276,"8,340",,"55,930","1,023","634,812","214,004","2,966,361 "
62,Egypt,"160,463",,"8,853 ",,"125,603",,"26,007",90,"1,552",86,"1,000,000","9,670","103,409,102 "
63,Kuwait,"160,367",,952 ,,"153,307",,"6,108",48,"37,244",221,"1,446,503","335,940","4,305,835 "
64,Slovenia,"155,752",,"3,309 ",,"133,428",,"19,015",186,"74,913","1,592","769,373","370,051","2,079,099 "
65,Moldova,"155,302",,"3,332 ",,"145,831",,"6,139",226,"38,549",827,"606,919","150,650","4,028,672 "
66,Palestine,"154,557",,"1,769 ",,"143,611",,"9,177",77,"29,911",342,"978,179","189,304","5,167,242 "
67,Guatemala,"152,956",,"5,420 ",,"137,092",,"10,444",5,"8,451",299,"727,972","40,219","18,100,143 "
68,Greece,"151,041",,"5,598 ",,"139,140",,"6,303",288,"14,531",539,"3,930,631","378,153","10,394,280 "
69,Qatar,"148,521",,248 ,,"144,619",,"3,654",34,"52,896",88,"1,344,472","478,834","2,807,805 "
70,Honduras,"139,182","+1,138","3,439 ",+17,"60,410",+18,"75,333",227,"13,929",344,"347,776","34,804","9,992,498 "
71,Myanmar,"136,591",,"3,031 ",,"120,543",,"13,017",,"2,501",55,"2,229,844","40,829","54,614,537 "
72,Ethiopia,"132,881",,"2,060 ",,"118,513",,"12,308",227,"1,140",18,"1,908,533","16,376","116,542,610 "
73,Oman,"132,486",,"1,517 ",,"124,730",,"6,239",23,"25,583",293,"883,340","170,575","5,178,607 "
74,Paraguay,"126,370",,"2,585 ",,"101,599",,"22,186",250,"17,597",360,"624,400","86,945","7,181,539 "
75,Venezuela,"122,795",,"1,136 ",,"114,925",,"6,734",105,"4,325",40,"2,532,669","89,208","28,390,458 "
76,Bosnia and Herzegovina,"119,420",,"4,555 ",,"90,691",,"24,174",,"36,528","1,393","575,996","176,185","3,269,277 "
77,Nigeria,"118,138",,"1,490 ",,"94,130",,"22,518",10,565,7,"1,225,179","5,863","208,972,594 "
78,Libya,"112,540",,"1,737 ",,"90,952",,"19,851",,"16,255",251,"616,191","89,000","6,923,505 "
79,Algeria,"105,124",,"2,856 ",,"71,552",,"30,716",42,"2,373",64,,,"44,292,186 "
80,Kenya,"99,769",,"1,740 ",,"82,866",,"15,163",27,"1,833",32,"1,148,030","21,092","54,429,336 "
81,Bahrain,"99,210",,366 ,,"95,902",,"2,942",18,"57,210",211,"2,607,285","1,503,508","1,734,135 "
82,North Macedonia,"90,124",,"2,768 ",,"76,045",,"11,311",138,"43,260","1,329","439,121","210,779","2,083,326 "
83,Kyrgyzstan,"83,796",+93,"1,398 ",+2,"79,772",+108,"2,626",50,"12,727",212,"642,055","97,514","6,584,226 "
84,Uzbekistan,"78,317",+45,621 ,+1,"76,778",+26,918,156,"2,321",18,"1,377,915","40,839","33,740,093 "
